Perfil de Temperatura
  x y T
 45.1325  45.1325  47.2072    51.38  57.6934  66.0879   76.309  87.8559      100

     100      100      100      100      100      100      100      100      100
 88.6045  88.6045  89.0618  89.9719  91.3314  93.1125  95.2457  97.6058      100
 77.7308  77.7308  78.6179  80.3842  83.0236  86.4839  90.6352  95.2492      100
   68.04    68.04  69.3062  71.8288  75.5998  80.5476  86.4923  93.1218      100
 60.0074  60.0074  61.5855  64.7313   69.436  75.6129  83.0433  91.3475      100
 53.9047  53.9047  55.7185   59.336  64.7482  71.8575  80.4163  89.9952      100
  49.837   49.837  51.8073  55.7385  61.6214  69.3517  78.6628  89.0922      100
 47.8122  47.8122  49.8602  53.9473  60.0644  68.1037  77.7893  88.6423      100
 47.8122  47.8122  49.8602  53.9473  60.0644  68.1037  77.7893  88.6423      100

     100      100      100      100      100      100      100      100      100
 89.3314  89.3314  89.7729  90.6466  91.9404  93.6192  95.6115   97.798      100
 79.1071  79.1071   79.965  81.6633  84.1791  87.4461  91.3303  95.6146      100
 69.9328  69.9328  71.1603  73.5914  77.1945  81.8774   87.454  93.6277      100
 62.2626  62.2626  63.7967  66.8367  71.3444  77.2071  84.1976  91.9554      100
 56.3808  56.3808  58.1489   61.654  66.8534  73.6192  81.6939  90.6686      100
 52.4271  52.4271  54.3518  58.1689  63.8324  71.2048  80.0083  89.8019      100
 50.4473  50.4473  52.4503  56.4233   62.319  69.9951  79.1636  89.3675      100
 50.4473  50.4473  52.4503  56.4233   62.319  69.9951  79.1636  89.3675      100

     100      100      100      100      100      100      100      100      100
  90.005   90.005  90.4291  91.2647  92.4935  94.0756  95.9387  97.9692      100
 80.3896  80.3896  81.2149  82.8412  85.2339   88.317   91.955  95.9416      100
 71.7122  71.7122  72.8954   75.228  78.6615  83.0897  88.3243  94.0834      100
 64.4058  64.4058   65.888  68.8115  73.1168  78.6736  85.2514  92.5076      100
 58.7608  58.7608  60.4729   63.851  68.8278  75.2549  82.8705  91.2855      100
 54.9406  54.9406  56.8077  60.4927  65.9231  72.9386  81.2566  90.4567      100
 53.0186  53.0186  54.9635  58.8028  64.4611  71.7726  80.4439  90.0394      100
 53.0186  53.0186  54.9635  58.8028  64.4611  71.7726  80.4439  90.0394      100

     100      100      100      100      100      100      100      100      100
 90.6314  90.6314  91.0373  91.8341  92.9994  94.4901  96.2341  98.1232      100
  81.588   81.588  82.3788  83.9313  86.2028  89.1111  92.5212  96.2368      100
  73.387   73.387  74.5226  76.7529  80.0178  84.2021  89.1179  94.4973      100
 66.4412  66.4412  67.8664   70.667  74.7685  80.0293  86.2193  93.0126      100
 61.0419  61.0419  62.6911   65.933  70.6827  76.7788  83.9592  91.8538      100
 57.3681  57.3681  59.1692  62.7106  67.9006  74.5644  82.4187  91.0636      100
 55.5128  55.5128  57.3905  61.0829   66.495  73.4454  81.6401  90.6642      100
 55.5128  55.5128  57.3905  61.0829   66.495  73.4454  81.6401  90.6642      100

     100      100      100      100      100      100      100      100      100
 91.2158  91.2158  91.6032  92.3613  93.4649  94.8691  96.5029  98.2628      100
 82.7105  82.7105  83.4658  84.9442  87.0974  89.8398  93.0381  96.5054      100
 74.9653  74.9653  76.0513   78.178  81.2771  85.2283  89.8462  94.8759      100
 68.3732  68.3732  69.7384  72.4129  76.3122  81.2881  87.1131  93.4772      100
 63.2232  63.2232  64.8053  67.9058  72.4281  78.2028  84.9707  92.3799      100
 59.7036  59.7036  61.4334  64.8243  69.7715  76.0915   83.504  91.6282      100
 57.9208  57.9208  59.7254   63.263  68.4253  75.0215  82.7603   91.247      100
 57.9208  57.9208  59.7254   63.263  68.4253  75.0215  82.7603   91.247      100

     100      100      100      100      100      100      100      100      100
 91.7626  91.7626  92.1314  92.8512  93.8953  95.2178  96.7492  98.3904      100
 83.7641  83.7641  84.4836  85.8885  87.9272  90.5122   93.513  96.7515      100
 76.4539  76.4539  77.4897  79.5129  82.4505  86.1794  90.5182  95.2241      100
 70.2065  70.2065  71.5102  74.0577  77.7586  82.4609   87.942  93.9069      100
 65.3054  65.3054   66.818   69.775  74.0724  79.5366  85.9138  92.8688      100
 61.9438  61.9438  63.5994  66.8364   71.542  77.5283    84.52  92.1551      100
  60.237   60.237  61.9649  65.3439  70.2567  76.5078  83.8117  91.7923      100
  60.237   60.237  61.9649  65.3439  70.2567  76.5078  83.8117  91.7923      100

     100      100      100      100      100      100      100      100      100
 92.2753  92.2753  92.6256  93.3082   94.295  95.5402  96.9761  98.5077      100
 84.7546  84.7546  85.4386  86.7715  88.6997  91.1354  93.9517  96.9782      100
 77.8591  77.8591  78.8447   80.766   83.547  87.0642  91.1411  95.5461      100
 71.9454  71.9454  73.1872   75.609  79.1164  83.5569  88.7136  94.3059      100
   67.29    67.29  68.7324  71.5461  75.6231  80.7887  86.7955  93.3248      100
 64.0876  64.0876  65.6674    68.75  73.2179  78.8817  85.4733  92.6481      100
 62.4583  62.4583  64.1079  67.3271  71.9936  77.9107  84.7999  92.3035      100
 62.4583  62.4583  64.1079  67.3271  71.9936  77.9107  84.7999  92.3035      100

     100      100      100      100      100      100      100      100      100
 92.7568  92.7568  93.0891  93.7355  94.6674  95.8396  97.1861  98.6161      100
 85.6871  85.6871  86.3362   87.599   89.421  91.7153  94.3585  97.1881      100
 79.1865  79.1865  80.1226  81.9443  84.5743  87.8902  91.7206  95.8451      100
 73.5946  73.5946   74.775  77.0732  80.3932  84.5836  89.4343  94.6778      100
 69.1796  69.1796  70.5518  73.2243  77.0867  81.9658  87.6218  93.7512      100
 66.1351  66.1351   67.639  70.5688  74.8044  80.1579  86.3692  93.1105      100
 64.5836  64.5836  66.1546  69.2152  73.6407  79.2358  85.7302  92.7836      100
 64.5836  64.5836  66.1546  69.2152  73.6407  79.2358  85.7302  92.7836      100

     100      100      100      100      100      100      100      100      100
 93.2099  93.2099  93.5247   94.136  95.0156  96.1186  97.3814  98.7166      100
  86.566   86.566  87.1811  88.3761  90.0965  92.2567  94.7374  97.3832      100
 80.4411  80.4411  81.3287  83.0537  85.5386  88.6632  92.2617  96.1238      100
 75.1583  75.1583  76.2784  78.4563  81.5956  85.5475   90.109  95.0253      100
 70.9769  70.9769    72.28  74.8142  78.4691  83.0742  88.3978  94.1509      100
 68.0875  68.0875  69.5165  72.2962  76.3065  81.3623  87.2125  93.5449      100
 66.6131  66.6131  68.1062   71.011  75.2024   80.488   86.607  93.2353      100
 66.6131  66.6131  68.1062   71.011  75.2024   80.488   86.607  93.2353      100

     100      100      100      100      100      100      100      100      100
 93.6367  93.6367  93.9345  94.5122  95.3417  96.3794  97.5635  98.8103      100
 87.3951  87.3951  87.9774  89.1071  90.7303  92.7634  95.0913  97.5652      100
 81.6273  81.6273  82.4679  84.0995  86.4455  89.3882  92.7681  96.3843      100
 76.6407  76.6407  77.7022  79.7634  82.7291  86.4539  90.7421  95.3509      100
 72.6852  72.6852  73.9208  76.3207  79.7756   84.119  89.1276  94.5263      100
 69.9471  69.9471  71.3027  73.9363   77.729  82.4999  88.0072  93.9537      100
 68.5483  68.5483   69.965  72.7178  76.6828   81.672  87.4341  93.6608      100
 68.5483  68.5483   69.965  72.7178  76.6828   81.672  87.4341  93.6608      100

     100      100      100      100      100      100      100      100      100
 94.0391  94.0391  94.3206  94.8661   95.648  96.6237  97.7338  98.8978      100
  88.178   88.178  88.7285  89.7955   91.326  93.2387  95.4227  97.7354      100
 82.7493  82.7493  83.5445  85.0862  87.2994  90.0696  93.2432  96.6283      100
 78.0459  78.0459  79.0505  80.9993  83.7987  87.3074  91.3372  95.6567      100
  74.308   74.308  75.4779  77.7481   81.011  85.1048   89.815  94.8795      100
 71.7165  71.7165  73.0006  75.4927  79.0761   83.575  88.7569  94.3389      100
 70.3913  70.3913  71.7335   74.339   78.086  82.7919  88.2151   94.062      100
 70.3913  70.3913  71.7335   74.339   78.086  82.7919  88.2151   94.062      100

     100      100      100      100      100      100      100      100      100
  94.419   94.419  94.6848  95.1995   95.936  96.8531  97.8935  98.9797      100
 88.9176  88.9176  89.4377  90.4447  91.8868  93.6854  95.7337   97.895      100
  83.811   83.811  84.5624   86.018  88.1044  90.7109  93.6896  96.8574      100
 79.3778  79.3778  80.3277  82.1684  84.8088   88.112  91.8974  95.9442      100
 75.8487  75.8487  76.9552  79.1005  82.1795  86.0357  90.4631  95.2121      100
 73.3987  73.3987  74.6136  76.9694   80.352  84.5914  89.4646  94.7021      100
 72.1447  72.1447  73.4149  75.8782   79.416  83.8515  88.9528  94.4407      100
 72.1447  72.1447  73.4149  75.8782   79.416  83.8515  88.9528  94.4407      100

     100      100      100      100      100      100      100      100      100
 94.7777  94.7777  95.0286  95.5138  96.2072  97.0688  98.0435  99.0566      100
 89.6168  89.6168  90.1076  91.0573  92.4153  94.1058   96.026   98.045      100
 84.8158  84.8158  85.5253  86.8985   88.864  91.3151  94.1098  97.0729      100
 80.6402  80.6402  81.5374  83.2746  85.7632  88.8713  92.4254  96.2149      100
 77.3109  77.3109  78.3565  80.3818  83.2851  86.9152  91.0748  95.5258      100
 74.9969  74.9969  76.1452  78.3699  81.5605  85.5528  90.1332   95.045      100
 73.8117  73.8117  75.0124  77.3391  80.6765  84.8542  89.6502  94.7983      100
 73.8117  73.8117  75.0124  77.3391  80.6765  84.8542  89.6502  94.7983      100

     100      100      100      100      100      100      100      100      100
 95.1168  95.1168  95.3533  95.8105  96.4629   97.272  98.1847   99.129      100
  90.278   90.278  90.7409  91.6358  92.9139   94.502  96.3013   98.186      100
  85.767   85.767  86.4363  87.7308  89.5814  91.8851  94.5058  97.2758      100
 81.8366  81.8366  82.6833  84.3215  86.6655  89.5882  92.9235  96.4702      100
 78.6983  78.6983  79.6853  81.5959  84.3315  87.7467  91.6524  95.8218      100
 76.5146  76.5146  77.5989  79.6981  82.7052  86.4625  90.7651  95.3689      100
 75.3954  75.3954  76.5293   78.725  81.8711  85.8035  90.3097  95.1363      100
 75.3954  75.3954  76.5293   78.725  81.8711  85.8035  90.3097  95.1363      100

     100      100      100      100      100      100      100      100      100
 95.4374  95.4374  95.6603  96.0907  96.7041  97.4635  98.3176  99.1971      100
 90.9035  90.9035  91.3398  92.1825  93.3847  94.8757  96.5607  98.3189      100
 86.6675  86.6675  87.2985   88.518  90.2592  92.4232  94.8793  97.4672      100
 82.9704  82.9704  83.7688  85.3125  87.5189  90.2657  93.3938  96.7111      100
